2019-06-09 12:42:19.823 INFO  Server: CMD:SCRIPT DIR: /home/stuart/git/PiServerSpringBoot/data/scripts
2019-06-09 12:42:19.833 INFO  Server: CMD:OUT:./diskStatus.sh --> Q0:./diskStatus.sh
2019-06-09 12:42:19.833 INFO  Server: CMD:OUT:./diskStatus.sh --> Q1:
2019-06-09 12:42:19.833 INFO  Server: CMD:OUT:./diskStatus.sh --> Q2:
2019-06-09 12:42:19.833 INFO  Server: CMD:OUT:./diskStatus.sh --> Q3:
2019-06-09 12:42:19.833 INFO  Server: CMD:OUT:./diskStatus.sh --> {start}
2019-06-09 12:42:19.881 INFO  Server: CMD:OUT:./diskStatus.sh --> [{"name":"/dev/sda:","state":"standby"},{"name":"/dev/sdb:","state":"active/idle"}]
2019-06-09 12:42:19.883 INFO  Server: CMD:OUT:./diskStatus.sh --> {end}
2019-06-09 12:42:19.883 INFO  Server: CMD:EXIT: Code=0
